"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
9796640403-95,"Verband Forschender Arzneimittelhersteller e.V.",2.6,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,10,1,https://www.lobbyfacts.eu/datacard/verband-forschender-arzneimittelhersteller-ev?rid=9796640403-95
98346621358-26,"UNION DES INDUSTRIES TEXTILES",3,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,2,https://www.lobbyfacts.eu/datacard/union-des-industries-textiles?rid=98346621358-26
983915948220-40,"FEDERATION FOR ENVELOPES AND FOR LIGHT AND ECOMMERCE PACKAGING IN EUROPE",2.25,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/federation-for-envelopes-and-for-light-and-ecommerce-packaging-in-europe?rid=983915948220-40
984508796331-71,"European Battery Recycling Association",1.25,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-battery-recycling-association?rid=984508796331-71
985531751018-81,"PartNET Association - Partnership for Sustainable Development",5.75,200000,"Promotes their own interests or the collective interests of their members",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/partnet-association---partnership-for-sustainable-development?rid=985531751018-81
990178232829-20,Nouryon,0.45,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/nouryon?rid=990178232829-20
99127823248-77,"Stefan Scheuer",3,200000,"Advances interests of their clients",BELGIUM,BELGIUM,3,41,,https://www.lobbyfacts.eu/datacard/stefan-scheuer?rid=99127823248-77
99565011637-64,"Association of the European Self-Care Industry",3.5,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,25,35,https://www.lobbyfacts.eu/datacard/association-of-the-european-self-care-industry?rid=99565011637-64
996649622482-55,"Associazione Industriale Lombarda dei territori di Milano, Lodi, Monza e Brianza, Pavia",1.35,200000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,1,24,3,https://www.lobbyfacts.eu/datacard/associazione-industriale-lombarda-dei-territori-di-milano-lodi-monza-e-brianza-pavia?rid=996649622482-55
996909437835-42,Samfunnsbedriftene,0.75,200000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,,,,https://www.lobbyfacts.eu/datacard/samfunnsbedriftene?rid=996909437835-42
999725935832-94,"International Federation of Journalists",0.5,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/international-federation-of-journalists?rid=999725935832-94
99982273034-52,"European State Forest Association",4.1,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,3,28,14,https://www.lobbyfacts.eu/datacard/european-state-forest-association?rid=99982273034-52
73952083693-15,"Schuman Associates",9.5,195000,"Advances interests of their clients",BELGIUM,BELGIUM,3,92,2,https://www.lobbyfacts.eu/datacard/schuman-associates?rid=73952083693-15
91450204419-60,"Harwood Levitt Consulting",2.2,190000,"Advances interests of their clients",BELGIUM,BELGIUM,5,98,,https://www.lobbyfacts.eu/datacard/harwood-levitt-consulting?rid=91450204419-60
313812535828-51,ARPA,4,185000,"Advances interests of their clients",BELGIUM,BELGIUM,3,17,,https://www.lobbyfacts.eu/datacard/arpa?rid=313812535828-51
649236547440-85,"Skill Set Technology & Strategy Services Limited",1,185000,"Advances interests of their clients",IRELAND,IRELAND,1,3,,https://www.lobbyfacts.eu/datacard/skill-set-technology--strategy-services-limited?rid=649236547440-85
189143131639-34,"Elisabeth Opie, trading as Opie",0.5,180000,"Advances interests of their clients",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/elisabeth-opie-trading-as-opie?rid=189143131639-34
453621941484-61,"Roman y Asociados S.A.",0.55,175000,"Advances interests of their clients",SPAIN,SPAIN,,1,,https://www.lobbyfacts.eu/datacard/roman-y-asociados-sa?rid=453621941484-61
786297415977-28,"Incisive Health",11,175000,"Advances interests of their clients",BELGIUM,BELGIUM,10,68,2,https://www.lobbyfacts.eu/datacard/incisive-health?rid=786297415977-28
539384521517-03,"Insight Consulting SRL",2,165000,"Advances interests of their clients",BELGIUM,BELGIUM,2,19,1,https://www.lobbyfacts.eu/datacard/insight-consulting-srl?rid=539384521517-03
157975547423-75,"Geradin Partners Newco",0.1,160000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/geradin-partners-newco?rid=157975547423-75
19714485883-27,Lumina,3.35,160000,"Advances interests of their clients",BELGIUM,BELGIUM,3,24,1,https://www.lobbyfacts.eu/datacard/lumina?rid=19714485883-27
200593345593-86,"Strategic Advisory Management",0.85,160000,"Advances interests of their clients",BELGIUM,BELGIUM,1,1,2,https://www.lobbyfacts.eu/datacard/strategic-advisory-management?rid=200593345593-86
32689998126-75,"Bernstein Public Policy",2.45,160000,"Advances interests of their clients",BELGIUM,BELGIUM,,51,3,https://www.lobbyfacts.eu/datacard/bernstein-public-policy?rid=32689998126-75
345311518196-94,"MARYSE COPPET",2.5,155000,"Advances interests of their clients",FRANCE,FRANCE,,1,,https://www.lobbyfacts.eu/datacard/maryse-coppet?rid=345311518196-94
149043243945-01,"Clifford Chance LLP",0.6,150000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,,2,1,https://www.lobbyfacts.eu/datacard/clifford-chance-llp?rid=149043243945-01
194058751547-76,"George Merriman",0.25,150000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/george-merriman?rid=194058751547-76
279435534738-50,"Policy Impact Partners Limited",3.4,150000,"Advances interests of their clients","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/policy-impact-partners-limited?rid=279435534738-50
31442479070-19,Veristat,1.25,150000,"Advances interests of their clients","UNITED STATES",SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/veristat?rid=31442479070-19
344894120925-87,"Petri Lahesmaa Consulting",1,150000,"Advances interests of their clients",BELGIUM,BELGIUM,1,4,5,https://www.lobbyfacts.eu/datacard/petri-lahesmaa-consulting?rid=344894120925-87
647874040494-38,"Dario Dainelli -Policy & Regulatory Affairs",4.1,150000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/dario-dainelli--policy--regulatory-affairs?rid=647874040494-38
69369266684-67,"Polint Ltd",4.25,150000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,2,55,11,https://www.lobbyfacts.eu/datacard/polint-ltd?rid=69369266684-67
81808968913-01,"Lighthouse Europe",4,150000,"Advances interests of their clients",BELGIUM,BELGIUM,2,66,2,https://www.lobbyfacts.eu/datacard/lighthouse-europe?rid=81808968913-01
308929629060-83,SERRPA,1,145000,"Advances interests of their clients",BELGIUM,BELGIUM,1,2,,https://www.lobbyfacts.eu/datacard/serrpa?rid=308929629060-83
949247229948-43,"BLUE STAR STRATEGIES SAS",1.25,145000,"Advances interests of their clients",FRANCE,BELGIUM,1,26,4,https://www.lobbyfacts.eu/datacard/blue-star-strategies-sas?rid=949247229948-43
54291344113-16,"ISC Intelligence in  Science",1.5,135000,"Advances interests of their clients",BELGIUM,BELGIUM,1,4,3,https://www.lobbyfacts.eu/datacard/isc-intelligence-in--science?rid=54291344113-16
836325121120-34,"DWR eco",0.85,135000,"Advances interests of their clients",GERMANY,GERMANY,1,7,,https://www.lobbyfacts.eu/datacard/dwr-eco?rid=836325121120-34
113286326329-37,"Better Europe",1.75,130000,"Advances interests of their clients",BELGIUM,BELGIUM,2,16,3,https://www.lobbyfacts.eu/datacard/better-europe?rid=113286326329-37
57779082499-25,"Schuttelaar & Partners",1.65,130000,"Advances interests of their clients",NETHERLANDS,BELGIUM,4,78,1,https://www.lobbyfacts.eu/datacard/schuttelaar--partners?rid=57779082499-25
250286113730-40,"Wolfram Vogel Advisors",0.5,125000,"Advances interests of their clients",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/wolfram-vogel-advisors?rid=250286113730-40
327859193984-59,FortyEight,1.5,125000,"Advances interests of their clients",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/fortyeight?rid=327859193984-59
397196840941-13,"C&V CONSULTING",6.5,125000,"Advances interests of their clients",BELGIUM,BELGIUM,7,21,1,https://www.lobbyfacts.eu/datacard/cv-consulting?rid=397196840941-13
488647147874-39,Ogival,1,125000,"Advances interests of their clients",FRANCE,FRANCE,1,2,,https://www.lobbyfacts.eu/datacard/ogival?rid=488647147874-39
618790335705-15,"Time&Place Consulting",3.5,125000,"Advances interests of their clients",BELGIUM,BELGIUM,5,5,,https://www.lobbyfacts.eu/datacard/timeplace-consulting?rid=618790335705-15
838820650356-72,"SALESAS TRES CENTRO DE ESTUDIOS, S.L.",0.2,125000,"Advances interests of their clients",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/salesas-tres-centro-de-estudios-sl?rid=838820650356-72
309943411467-94,"Berbalk Communications",3,120000,"Advances interests of their clients",BELGIUM,BELGIUM,3,31,9,https://www.lobbyfacts.eu/datacard/berbalk-communications?rid=309943411467-94
519465149112-71,89up,5.2,120000,"Advances interests of their clients","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/_9up?rid=519465149112-71
671495010533-60,Europolitis,1.75,120000,"Advances interests of their clients",FRANCE,FRANCE,,20,,https://www.lobbyfacts.eu/datacard/europolitis?rid=671495010533-60
785976617848-15,"Regulatory Communication",1,120000,"Advances interests of their clients",NETHERLANDS,NETHERLANDS,1,8,,https://www.lobbyfacts.eu/datacard/regulatory-communication?rid=785976617848-15
547623152481-12,TELAGE,0.1,115000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/telage?rid=547623152481-12
574020347517-26,"Future Advocacy",2.5,115000,"Advances interests of their clients","UNITED KINGDOM","UNITED KINGDOM",1,4,1,https://www.lobbyfacts.eu/datacard/future-advocacy?rid=574020347517-26
177555951359-90,"B&K Agency S.r.l",3.1,110000,"Advances interests of their clients",ITALY,ITALY,3,6,,https://www.lobbyfacts.eu/datacard/bk-agency-srl?rid=177555951359-90
524556747816-31,"Heimdal European Affairs",1,110000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/heimdal-european-affairs?rid=524556747816-31
862177835912-33,"MP-Public Affairs",1,110000,"Advances interests of their clients",BELGIUM,BELGIUM,1,4,,https://www.lobbyfacts.eu/datacard/mp-public-affairs?rid=862177835912-33
000104242849-49,"Hoist Finance AB (publ)",0.5,100000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,3,https://www.lobbyfacts.eu/datacard/hoist-finance-ab-publ?rid=000104242849-49
001688341517-07,"Associazione  Igienisti  Dentali Italiani",0.5,100000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/associazione--igienisti--dentali-italiani?rid=001688341517-07
002126439066-24,"CIO Platform Nederland",0.75,100000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/cio-platform-nederland?rid=002126439066-24
004942218376-96,"FREE ICT EUROPE FOUNDATION",1.75,100000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/free-ict-europe-foundation?rid=004942218376-96
005476244544-25,"COSTRUZIONI APPARECCHIATURE ELETTRONICHE NUCLEARI C.A.E.N. SpA",1.25,100000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/costruzioni-apparecchiature-elettroniche-nucleari-caen-spa?rid=005476244544-25
007461027732-18,"ENFIT e.V. Internationaler Verband - Supply Chain Safety",3.25,100000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/enfit-ev-internationaler-verband---supply-chain-safety?rid=007461027732-18
00770563312-18,"European Diisocyanate and Polyol Producers Association",4,100000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,6,,https://www.lobbyfacts.eu/datacard/european-diisocyanate-and-polyol-producers-association?rid=00770563312-18
007961591670-39,"FEDERACIÓN DE DISTRIBUIDORES FARMACÉUTICOS",1.5,100000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/federación-de-distribuidores-farmacéuticos?rid=007961591670-39
008431330155-37,"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A.",2.5,100000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/construcciones-y-auxiliar-de-ferrocarriles-sa?rid=008431330155-37
00849042167-65,"European Snacks Association",3.5,100000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,26,1,https://www.lobbyfacts.eu/datacard/european-snacks-association?rid=00849042167-65
009153631495-97,"Aviagen EPI",1,100000,"Promotes their own interests or the collective interests of their members",BELGIUM,"UNITED KINGDOM",,,1,https://www.lobbyfacts.eu/datacard/aviagen-epi?rid=009153631495-97
009433826675-55,"CMA CGM",1.8,100000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,2,31,https://www.lobbyfacts.eu/datacard/cma-cgm?rid=009433826675-55
009832643638-02,"Confindustria Toscana Nord",1.5,100000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/confindustria-toscana-nord?rid=009832643638-02
010397411668-54,"Association of European Research Establishments in Aeronautics",2.75,100000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,4,https://www.lobbyfacts.eu/datacard/association-of-european-research-establishments-in-aeronautics?rid=010397411668-54
